Title,Abstract,Authors,Last Author,Published Date
Spatial-Aware Dictionary Learning for Hyperspectral Image Classification,"  This paper presents a structured dictionary-based model for hyperspectral
data that incorporates both spectral and contextual characteristics of a
spectral sample, with the goal of hyperspectral image classification. The idea
is to partition the pixels of a hyperspectral image into a number of spatial
neighborhoods called contextual groups and to model each pixel with a linear
combination of a few dictionary elements learned from the data. Since pixels
inside a contextual group are often made up of the same materials, their linear
combinations are constrained to use common elements from the dictionary. To
this end, dictionary learning is carried out with a joint sparse regularizer to
induce a common sparsity pattern in the sparse coefficients of each contextual
group. The sparse coefficients are then used for classification using a linear
SVM. Experimental results on a number of real hyperspectral images confirm the
effectiveness of the proposed representation for hyperspectral image
classification. Moreover, experiments with simulated multispectral data show
that the proposed model is capable of finding representations that may
effectively be used for classification of multispectral-resolution samples.
","Ali Soltani-Farani, Hamid R. Rabiee, Seyyed Abbas Hosseini",Seyyed Abbas Hosseini,2013-08-06T05:57:08Z
"Fusion of Hyperspectral and Panchromatic Images using Spectral Uumixing
  Results","  Hyperspectral imaging, due to providing high spectral resolution images, is
one of the most important tools in the remote sensing field. Because of
technological restrictions hyperspectral sensors has a limited spatial
resolution. On the other hand panchromatic image has a better spatial
resolution. Combining this information together can provide a better
understanding of the target scene. Spectral unmixing of mixed pixels in
hyperspectral images results in spectral signature and abundance fractions of
endmembers but gives no information about their location in a mixed pixel. In
this paper we have used spectral unmixing results of hyperspectral images and
segmentation results of panchromatic image for data fusion. The proposed method
has been applied on simulated data using AVRIS Indian Pines datasets. Results
show that this method can effectively combine information in hyperspectral and
panchromatic images.
","Roozbeh Rajabi, Hassan Ghassemian",Hassan Ghassemian,2013-10-22T15:44:51Z
"Super-resolution reconstruction of hyperspectral images via low rank
  tensor modeling and total variation regularization","  In this paper, we propose a novel approach to hyperspectral image
super-resolution by modeling the global spatial-and-spectral correlation and
local smoothness properties over hyperspectral images. Specifically, we utilize
the tensor nuclear norm and tensor folded-concave penalty functions to describe
the global spatial-and-spectral correlation hidden in hyperspectral images, and
3D total variation (TV) to characterize the local spatial-and-spectral
smoothness across all hyperspectral bands. Then, we develop an efficient
algorithm for solving the resulting optimization problem by combing the local
linear approximation (LLA) strategy and alternative direction method of
multipliers (ADMM). Experimental results on one hyperspectral image dataset
illustrate the merits of the proposed approach.
","Shiying He, Haiwei Zhou, Yao Wang, Wenfei Cao, Zhi Han",Zhi Han,2016-01-23T07:07:16Z
"Wavelet-Based Semantic Features for Hyperspectral Signature
  Discrimination","  Hyperspectral signature classification is a quantitative analysis approach
for hyperspectral imagery which performs detection and classification of the
constituent materials at the pixel level in the scene. The classification
procedure can be operated directly on hyperspectral data or performed by using
some features extracted from the corresponding hyperspectral signatures
containing information like the signature's energy or shape. In this paper, we
describe a technique that applies non-homogeneous hidden Markov chain (NHMC)
models to hyperspectral signature classification. The basic idea is to use
statistical models (such as NHMC) to characterize wavelet coefficients which
capture the spectrum semantics (i.e., structural information) at multiple
levels. Experimental results show that the approach based on NHMC models can
outperform existing approaches relevant in classification tasks.
","Siwei Feng, Yuki Itoh, Mario Parente, Marco F. Duarte",Marco F. Duarte,2016-02-11T21:25:36Z
Hyperspectral Subspace Identification Using SURE,"  Remote sensing hyperspectral sensors collect large volumes of high
dimensional spectral and spatial data. However, due to spectral and spatial
redundancy the true hyperspectral signal lies on a subspace of much lower
dimension than the original data. The identification of the signal subspace is
a very important first step for most hyperspectral algorithms. In this paper we
investigate the important problem of identifying the hyperspectral signal
subspace by minimizing the mean squared error (MSE) between the true signal and
an estimate of the signal. Since the MSE is uncomputable in practice, due to
its dependency on the true signal, we propose a method based on the Stein's
unbiased risk estimator (SURE) that provides an unbiased estimate of the MSE.
The resulting method is simple and fully automatic and we evaluate it using
both simulated and real hyperspectral data sets. Experimental results shows
that our proposed method compares well to recent state-of-the-art subspace
identification methods.
","Behnood Rasti, Magnus O. Ulfarsson, Johannes R. Sveinsson",Johannes R. Sveinsson,2016-06-01T11:01:54Z
"Person Re-identification with Hyperspectral Multi-Camera Systems --- A
  Pilot Study","  Person re-identification in a multi-camera environment is an important part
of modern surveillance systems. Person re-identification from color images has
been the focus of much active research, due to the numerous challenges posed
with such analysis tasks, such as variations in illumination, pose and
viewpoints. In this paper, we suggest that hyperspectral imagery has the
potential to provide unique information that is expected to be beneficial for
the re-identification task. Specifically, we assert that by accurately
characterizing the unique spectral signature for each person's skin,
hyperspectral imagery can provide very useful descriptors (e.g. spectral
signatures from skin pixels) for re-identification. Towards this end, we
acquired proof-of-concept hyperspectral re-identification data under
challenging (practical) conditions from 15 people. Our results indicate that
hyperspectral data result in a substantially enhanced re-identification
performance compared to color (RGB) images, when using spectral signatures over
skin as the feature descriptor.
","Saurabh Prasad, Tanu Priya, Minshan Cui, Shishir Shah",Shishir Shah,2016-07-15T18:38:38Z
"A Dual Symmetric Gauss-Seidel Alternating Direction Method of
  Multipliers for Hyperspectral Sparse Unmixing","  Since sparse unmixing has emerged as a promising approach to hyperspectral
unmixing, some spatial-contextual information in the hyperspectral images has
been exploited to improve the performance of the unmixing recently. The total
variation (TV) has been widely used to promote the spatial homogeneity as well
as the smoothness between adjacent pixels. However, the computation task for
hyperspectral sparse unmixing with a TV regularization term is heavy. Besides,
the convergence of the primal alternating direction method of multipliers
(ADMM) for the hyperspectral sparse unmixing with a TV regularization term has
not been explained in details. In this paper, we design an efficient and
convergent dual symmetric Gauss-Seidel ADMM (sGS-ADMM) for hyperspectral sparse
unmixing with a TV regularization term. We also present the global convergence
and local linear convergence rate analysis for this algorithm. As demonstrated
in numerical experiments, our algorithm can obviously improve the efficiency of
the unmixing compared with the state-of-the-art algorithm. More importantly, we
can obtain images with higher quality.
","Longfei Ren, Chengjing Wang, Peipei Tang, Zheng Ma",Zheng Ma,2019-02-25T08:28:01Z
"Salient object detection on hyperspectral images using features learned
  from unsupervised segmentation task","  Various saliency detection algorithms from color images have been proposed to
mimic eye fixation or attentive object detection response of human observers
for the same scenes. However, developments on hyperspectral imaging systems
enable us to obtain redundant spectral information of the observed scenes from
the reflected light source from objects. A few studies using low-level features
on hyperspectral images demonstrated that salient object detection can be
achieved. In this work, we proposed a salient object detection model on
hyperspectral images by applying manifold ranking (MR) on self-supervised
Convolutional Neural Network (CNN) features (high-level features) from
unsupervised image segmentation task. Self-supervision of CNN continues until
clustering loss or saliency maps converges to a defined error between each
iteration. Finally, saliency estimations is done as the saliency map at last
iteration when the self-supervision procedure terminates with convergence.
Experimental evaluations demonstrated that proposed saliency detection
algorithm on hyperspectral images is outperforming state-of-the-arts
hyperspectral saliency models including the original MR based saliency model.
","Nevrez Imamoglu, Guanqun Ding, Yuming Fang, Asako Kanezaki, Toru Kouyama, Ryosuke Nakamura",Ryosuke Nakamura,2019-02-28T10:23:00Z
"Deep Clustering With Intra-class Distance Constraint for Hyperspectral
  Images","  The high dimensionality of hyperspectral images often results in the
degradation of clustering performance. Due to the powerful ability of deep
feature extraction and non-linear feature representation, the clustering
algorithm based on deep learning has become a hot research topic in the field
of hyperspectral remote sensing. However, most deep clustering algorithms for
hyperspectral images utilize deep neural networks as feature extractor without
considering prior knowledge constraints that are suitable for clustering. To
solve this problem, we propose an intra-class distance constrained deep
clustering algorithm for high-dimensional hyperspectral images. The proposed
algorithm constrains the feature mapping procedure of the auto-encoder network
by intra-class distance so that raw images are transformed from the original
high-dimensional space to the low-dimensional feature space that is more
conducive to clustering. Furthermore, the related learning process is treated
as a joint optimization problem of deep feature extraction and clustering.
Experimental results demonstrate the intense competitiveness of the proposed
algorithm in comparison with state-of-the-art clustering methods of
hyperspectral images.
","Jinguang Sun, Wanli Wang, Xian Wei, Li Fang, Xiaoliang Tang, Yusheng Xu, Hui Yu, Wei Yao",Wei Yao,2019-04-01T04:42:18Z
"Transfer Learning for Segmenting Dimensionally-Reduced Hyperspectral
  Images","  Deep learning has established the state of the art in multiple fields,
including hyperspectral image analysis. However, training large-capacity
learners to segment such imagery requires representative training sets.
Acquiring such data is human-dependent and time-consuming, especially in Earth
observation scenarios, where the hyperspectral data transfer is very costly and
time-constrained. In this letter, we show how to effectively deal with a
limited number and size of available hyperspectral ground-truth sets, and apply
transfer learning for building deep feature extractors. Also, we exploit
spectral dimensionality reduction to make our technique applicable over
hyperspectral data acquired using different sensors, which may capture
different numbers of hyperspectral bands. The experiments, performed over
several benchmarks and backed up with statistical tests, indicated that our
approach allows us to effectively train well-generalizing deep convolutional
neural nets even using significantly reduced data.
","Jakub Nalepa, Michal Myller, Michal Kawulok",Michal Kawulok,2019-06-23T19:11:26Z
Trends in deep learning for medical hyperspectral image analysis,"  Deep learning algorithms have seen acute growth of interest in their
applications throughout several fields of interest in the last decade, with
medical hyperspectral imaging being a particularly promising domain. So far, to
the best of our knowledge, there is no review paper that discusses the
implementation of deep learning for medical hyperspectral imaging, which is
what this review paper aims to accomplish by examining publications that
currently utilize deep learning to perform effective analysis of medical
hyperspectral imagery. This paper discusses deep learning concepts that are
relevant and applicable to medical hyperspectral imaging analysis, several of
which have been implemented since the boom in deep learning. This will comprise
of reviewing the use of deep learning for classification, segmentation, and
detection in order to investigate the analysis of medical hyperspectral
imaging. Lastly, we discuss the current and future challenges pertaining to
this discipline and the possible efforts to overcome such trials.
","Uzair Khan, Paheding Sidike, Colin Elkin, Vijay Devabhaktuni",Vijay Devabhaktuni,2020-11-27T19:42:06Z
"Learning Hyperspectral Feature Extraction and Classification with
  ResNeXt Network","  The Hyperspectral image (HSI) classification is a standard remote sensing
task, in which each image pixel is given a label indicating the physical
land-cover on the earth's surface. The achievements of image semantic
segmentation and deep learning approaches on ordinary images have accelerated
the research on hyperspectral image classification. Moreover, the utilization
of both the spectral and spatial cues in hyperspectral images has shown
improved classification accuracy in hyperspectral image classification. The use
of only 3D Convolutional Neural Networks (3D-CNN) to extract both spatial and
spectral cues from Hyperspectral images results in an explosion of parameters
hence high computational cost. We propose network architecture called the
MixedSN that utilizes the 3D convolutions to modeling spectral-spatial
information in the early layers of the architecture and the 2D convolutions at
the top layers which majorly deal with semantic abstraction. We constrain our
architecture to ResNeXt block because of their performance and simplicity. Our
model drastically reduced the number of parameters and achieved comparable
classification performance with state-of-the-art methods on Indian Pine (IP)
scene dataset, Pavia University scene (PU) dataset, Salinas (SA) Scene dataset,
and Botswana (BW) dataset.
","Divinah Nyasaka, Jing Wang, Haron Tinega",Haron Tinega,2020-02-07T01:54:15Z
"Spectral DiffuserCam: lensless snapshot hyperspectral imaging with a
  spectral filter array","  Hyperspectral imaging is useful for applications ranging from medical
diagnostics to agricultural crop monitoring; however, traditional scanning
hyperspectral imagers are prohibitively slow and expensive for widespread
adoption. Snapshot techniques exist but are often confined to bulky benchtop
setups or have low spatio-spectral resolution. In this paper, we propose a
novel, compact, and inexpensive computational camera for snapshot hyperspectral
imaging. Our system consists of a tiled spectral filter array placed directly
on the image sensor and a diffuser placed close to the sensor. Each point in
the world maps to a unique pseudorandom pattern on the spectral filter array,
which encodes multiplexed spatio-spectral information. By solving a
sparsity-constrained inverse problem, we recover the hyperspectral volume with
sub-super-pixel resolution. Our hyperspectral imaging framework is flexible and
can be designed with contiguous or non-contiguous spectral filters that can be
chosen for a given application. We provide theory for system design,
demonstrate a prototype device, and present experimental results with high
spatio-spectral resolution.
","Kristina Monakhova, Kyrollos Yanny, Neerja Aggarwal, Laura Waller",Laura Waller,2020-06-15T17:31:17Z
"Forgery Detection in a Questioned Hyperspectral Document Image using
  K-means Clustering","  Hyperspectral imaging allows for analysis of images in several hundred of
spectral bands depending on the spectral resolution of the imaging sensor.
Hyperspectral document image is the one which has been captured by a
hyperspectral camera so that the document can be observed in the different
bands on the basis of their unique spectral signatures. To detect the forgery
in a document various Ink mismatch detection techniques based on hyperspectral
imaging have presented vast potential in differentiating visually similar inks.
Inks of different materials exhibit different spectral signature even if they
have the same color. Hyperspectral analysis of document images allows
identification and discrimination of visually similar inks. Based on this
analysis forensic experts can identify the authenticity of the document. In
this paper an extensive ink mismatch detection technique is presented which
uses KMean Clustering to identify different inks on the basis of their unique
spectral response and separates them into different clusters.
","Maria Yaseen, Rammal Aftab Ahmed, Rimsha Mahrukh",Rimsha Mahrukh,2020-06-29T13:51:24Z
A Dataset for Evaluating Blood Detection in Hyperspectral Images,"  The sensitivity of imaging spectroscopy to haemoglobin derivatives makes it a
promising tool for detecting blood. However, due to complexity and high
dimensionality of hyperspectral images, the development of hyperspectral blood
detection algorithms is challenging. To facilitate their development, we
present a new hyperspectral blood detection dataset. This dataset, published in
accordance to open access mandate, consist of multiple detection scenarios with
varying levels of complexity. It allows to test the performance of Machine
Learning methods in relation to different acquisition environments, types of
background, age of blood and presence of other blood-like substances. We
explored the dataset with blood detection experiments. We used hyperspectral
target detection algorithm based on the well-known Matched Filter detector. Our
results and their discussion highlight the challenges of blood detection in
hyperspectral data and form a reference for further works.
","Michał Romaszewski, Przemysław Głomb, Arkadiusz Sochan, Michał Cholewa",Michał Cholewa,2020-08-24T08:38:00Z
SASSI -- Super-Pixelated Adaptive Spatio-Spectral Imaging,"  We introduce a novel video-rate hyperspectral imager with high spatial, and
temporal resolutions. Our key hypothesis is that spectral profiles of pixels in
a super-pixel of an oversegmented image tend to be very similar. Hence, a
scene-adaptive spatial sampling of an hyperspectral scene, guided by its
super-pixel segmented image, is capable of obtaining high-quality
reconstructions. To achieve this, we acquire an RGB image of the scene, compute
its super-pixels, from which we generate a spatial mask of locations where we
measure high-resolution spectrum. The hyperspectral image is subsequently
estimated by fusing the RGB image and the spectral measurements using a
learnable guided filtering approach. Due to low computational complexity of the
superpixel estimation step, our setup can capture hyperspectral images of the
scenes with little overhead over traditional snapshot hyperspectral cameras,
but with significantly higher spatial and spectral resolutions. We validate the
proposed technique with extensive simulations as well as a lab prototype that
measures hyperspectral video at a spatial resolution of $600 \times 900$
pixels, at a spectral resolution of 10 nm over visible wavebands, and achieving
a frame rate at $18$fps.
","Vishwanath Saragadam, Michael DeZeeuw, Richard Baraniuk, Ashok Veeraraghavan, Aswin Sankaranarayanan",Aswin Sankaranarayanan,2020-12-28T21:34:18Z
"Class-Wise Principal Component Analysis for hyperspectral image feature
  extraction","  This paper introduces the Class-wise Principal Component Analysis, a
supervised feature extraction method for hyperspectral data. Hyperspectral
Imaging (HSI) has appeared in various fields in recent years, including Remote
Sensing. Realizing that information extraction tasks for hyperspectral images
are burdened by data-specific issues, we identify and address two major
problems. Those are the Curse of Dimensionality which occurs due to the
high-volume of the data cube and the class imbalance problem which is common in
hyperspectral datasets. Dimensionality reduction is an essential preprocessing
step to complement a hyperspectral image classification task. Therefore, we
propose a feature extraction algorithm for dimensionality reduction, based on
Principal Component Analysis (PCA). Evaluations are carried out on the Indian
Pines dataset to demonstrate that significant improvements are achieved when
using the reduced data in a classification task.
","Dimitra Koumoutsou, Eleni Charou, Georgios Siolas, Giorgos Stamou",Giorgos Stamou,2021-04-09T17:25:11Z
"Self-supervised Contrastive Learning for Cross-domain Hyperspectral
  Image Representation","  Recently, self-supervised learning has attracted attention due to its
remarkable ability to acquire meaningful representations for classification
tasks without using semantic labels. This paper introduces a self-supervised
learning framework suitable for hyperspectral images that are inherently
challenging to annotate. The proposed framework architecture leverages
cross-domain CNN, allowing for learning representations from different
hyperspectral images with varying spectral characteristics and no pixel-level
annotation. In the framework, cross-domain representations are learned via
contrastive learning where neighboring spectral vectors in the same image are
clustered together in a common representation space encompassing multiple
hyperspectral images. In contrast, spectral vectors in different hyperspectral
images are separated into distinct clusters in the space. To verify that the
learned representation through contrastive learning is effectively transferred
into a downstream task, we perform a classification task on hyperspectral
images. The experimental results demonstrate the advantage of the proposed
self-supervised representation over models trained from scratch or other
transfer learning methods.
","Hyungtae Lee, Heesung Kwon",Heesung Kwon,2022-02-08T16:16:45Z
"A distribution-dependent Mumford-Shah model for unsupervised
  hyperspectral image segmentation","  Hyperspectral images provide a rich representation of the underlying spectrum
for each pixel, allowing for a pixel-wise classification/segmentation into
different classes. As the acquisition of labeled training data is very
time-consuming, unsupervised methods become crucial in hyperspectral image
analysis. The spectral variability and noise in hyperspectral data make this
task very challenging and define special requirements for such methods.
  Here, we present a novel unsupervised hyperspectral segmentation framework.
It starts with a denoising and dimensionality reduction step by the
well-established Minimum Noise Fraction (MNF) transform. Then, the Mumford-Shah
(MS) segmentation functional is applied to segment the data. We equipped the MS
functional with a novel robust distribution-dependent indicator function
designed to handle the characteristic challenges of hyperspectral data. To
optimize our objective function with respect to the parameters for which no
closed form solution is available, we propose an efficient fixed point
iteration scheme. Numerical experiments on four public benchmark datasets show
that our method produces competitive results, which outperform three
state-of-the-art methods substantially on three of these datasets.
","Jan-Christopher Cohrs, Chandrajit Bajaj, Benjamin Berkels",Benjamin Berkels,2022-03-28T19:57:14Z
Dispersed Structured Light for Hyperspectral 3D Imaging,"  Hyperspectral 3D imaging aims to acquire both depth and spectral information
of a scene. However, existing methods are either prohibitively expensive and
bulky or compromise on spectral and depth accuracy. In this work, we present
Dispersed Structured Light (DSL), a cost-effective and compact method for
accurate hyperspectral 3D imaging. DSL modifies a traditional projector-camera
system by placing a sub-millimeter thick diffraction grating film front of the
projector. The grating disperses structured light based on light wavelength. To
utilize the dispersed structured light, we devise a model for dispersive
projection image formation and a per-pixel hyperspectral 3D reconstruction
method. We validate DSL by instantiating a compact experimental prototype. DSL
achieves spectral accuracy of 18.8nm full-width half-maximum (FWHM) and depth
error of 1mm. We demonstrate that DSL outperforms prior work on practical
hyperspectral 3D imaging. DSL promises accurate and practical hyperspectral 3D
imaging for diverse application domains, including computer vision and
graphics, cultural heritage, geology, and biology.
","Suhyun Shin, Seokjun Choi, Felix Heide, Seung-Hwan Baek",Seung-Hwan Baek,2023-11-30T06:45:52Z
"HyperColorization: Propagating spatially sparse noisy spectral clues for
  reconstructing hyperspectral images","  Hyperspectral cameras face challenging spatial-spectral resolution trade-offs
and are more affected by shot noise than RGB photos taken over the same total
exposure time. Here, we present a colorization algorithm to reconstruct
hyperspectral images from a grayscale guide image and spatially sparse spectral
clues. We demonstrate that our algorithm generalizes to varying spectral
dimensions for hyperspectral images, and show that colorizing in a low-rank
space reduces compute time and the impact of shot noise. To enhance robustness,
we incorporate guided sampling, edge-aware filtering, and dimensionality
estimation techniques. Our method surpasses previous algorithms in various
performance metrics, including SSIM, PSNR, GFC, and EMD, which we analyze as
metrics for characterizing hyperspectral image quality. Collectively, these
findings provide a promising avenue for overcoming the time-space-wavelength
resolution trade-off by reconstructing a dense hyperspectral image from samples
obtained by whisk or push broom scanners, as well as hybrid spatial-spectral
computational imaging systems.
","M. Kerem Aydin, Qi Guo, Emma Alexander",Emma Alexander,2024-03-18T16:33:43Z
Transformer for Multitemporal Hyperspectral Image Unmixing,"  Multitemporal hyperspectral image unmixing (MTHU) holds significant
importance in monitoring and analyzing the dynamic changes of surface. However,
compared to single-temporal unmixing, the multitemporal approach demands
comprehensive consideration of information across different phases, rendering
it a greater challenge. To address this challenge, we propose the Multitemporal
Hyperspectral Image Unmixing Transformer (MUFormer), an end-to-end unsupervised
deep learning model. To effectively perform multitemporal hyperspectral image
unmixing, we introduce two key modules: the Global Awareness Module (GAM) and
the Change Enhancement Module (CEM). The Global Awareness Module computes
self-attention across all phases, facilitating global weight allocation. On the
other hand, the Change Enhancement Module dynamically learns local temporal
changes by comparing endmember changes between adjacent phases. The synergy
between these modules allows for capturing semantic information regarding
endmember and abundance changes, thereby enhancing the effectiveness of
multitemporal hyperspectral image unmixing. We conducted experiments on one
real dataset and two synthetic datasets, demonstrating that our model
significantly enhances the effect of multitemporal hyperspectral image
unmixing.
","Hang Li, Qiankun Dong, Xueshuo Xie, Xia Xu, Tao Li, Zhenwei Shi",Zhenwei Shi,2024-07-15T04:02:01Z
Fast Hyperspectral Neutron Tomography,"  Hyperspectral neutron computed tomography is a tomographic imaging technique
in which thousands of wavelength-specific neutron radiographs are typically
measured for each tomographic view. In conventional hyperspectral
reconstruction, data from each neutron wavelength bin is reconstructed
separately, which is extremely time-consuming. These reconstructions often
suffer from poor quality due to low signal-to-noise ratio. Consequently,
material decomposition based on these reconstructions tends to lead to both
inaccurate estimates of the material spectra and inaccurate volumetric material
separation.
  In this paper, we present two novel algorithms for processing hyperspectral
neutron data: fast hyperspectral reconstruction and fast material
decomposition. Both algorithms rely on a subspace decomposition procedure that
transforms hyperspectral views into low-dimensional projection views within an
intermediate subspace, where tomographic reconstruction is performed. The use
of subspace decomposition dramatically reduces reconstruction time while
reducing both noise and reconstruction artifacts. We apply our algorithms to
both simulated and measured neutron data and demonstrate that they reduce
computation and improve the quality of the results relative to conventional
methods.
","Mohammad Samin Nur Chowdhury, Diyu Yang, Shimin Tang, Singanallur V. Venkatakrishnan, Hassina Z. Bilheux, Gregery T. Buzzard, Charles A. Bouman",Charles A. Bouman,2024-10-29T19:43:02Z
"Hyperspectral Unmixing: Ground Truth Labeling, Datasets, Benchmark
  Performances and Survey","  Hyperspectral unmixing (HU) is a very useful and increasingly popular
preprocessing step for a wide range of hyperspectral applications. However, the
HU research has been constrained a lot by three factors: (a) the number of
hyperspectral images (especially the ones with ground truths) are very limited;
(b) the ground truths of most hyperspectral images are not shared on the web,
which may cause lots of unnecessary troubles for researchers to evaluate their
algorithms; (c) the codes of most state-of-the-art methods are not shared,
which may also delay the testing of new methods.
  Accordingly, this paper deals with the above issues from the following three
perspectives: (1) as a profound contribution, we provide a general labeling
method for the HU. With it, we labeled up to 15 hyperspectral images, providing
18 versions of ground truths. To the best of our knowledge, this is the first
paper to summarize and share up to 15 hyperspectral images and their 18
versions of ground truths for the HU. Observing that the hyperspectral
classification (HyC) has much more standard datasets (whose ground truths are
generally publicly shared) than the HU, we propose an interesting method to
transform the HyC datasets for the HU research. (2) To further facilitate the
evaluation of HU methods under different conditions, we reviewed and
implemented the algorithm to generate a complex synthetic hyperspectral image.
By tuning the hyper-parameters in the code, we may verify the HU methods from
four perspectives. The code would also be shared on the web. (3) To provide a
standard comparison, we reviewed up to 10 state-of-the-art HU algorithms, then
selected the 5 most benchmark HU algorithms, and compared them on the 15 real
hyperspectral datasets. The experiment results are surely reproducible; the
implemented codes would be shared on the web.
",Feiyun Zhu,Feiyun Zhu,2017-08-17T03:35:02Z
"In-Vivo Hyperspectral Human Brain Image Database for Brain Cancer
  Detection","  The use of hyperspectral imaging for medical applications is becoming more
common in recent years. One of the main obstacles that researchers find when
developing hyperspectral algorithms for medical applications is the lack of
specific, publicly available, and hyperspectral medical data. The work
described in this paper was developed within the framework of the European
project HELICoiD (HypErspectraL Imaging Cancer Detection), which had as a main
goal the application of hyperspectral imaging to the delineation of brain
tumors in real-time during neurosurgical operations. In this paper, the
methodology followed to generate the first hyperspectral database of in-vivo
human brain tissues is presented. Data was acquired employing a customized
hyperspectral acquisition system capable of capturing information in the Visual
and Near InfraRed (VNIR) range from 400 to 1000 nm. Repeatability was assessed
for the cases where two images of the same scene were captured consecutively.
The analysis reveals that the system works more efficiently in the spectral
range between 450 and 900 nm. A total of 36 hyperspectral images from 22
different patients were obtained. From these data, more than 300 000 spectral
signatures were labeled employing a semi-automatic methodology based on the
spectral angle mapper algorithm. Four different classes were defined: normal
tissue, tumor tissue, blood vessel, and background elements. All the
hyperspectral data has been made available in a public repository.
","H. Fabelo, S. Ortega, A. Szolna, D. Bulters, J. F. Pineiro, S. Kabwama, A. Shanahan, H. Bulstrode, S. Bisshopp, B. R. Kiran, D. Ravi, R. Lazcano, D. Madronal, C. Sosa, C. Espino, M. Marquez, M. De la Luz Plaza, R. Camacho, D. Carrera, M. Hernandez, G. M. Callico, J. Morera, B. Stanciulescu, G. Z. Yang, R. Salvador, E. Juarez, C. Sanz, R. Sarmiento",R. Sarmiento,2024-02-16T15:58:45Z
AeroRIT: A New Scene for Hyperspectral Image Analysis,"  We investigate applying convolutional neural network (CNN) architecture to
facilitate aerial hyperspectral scene understanding and present a new
hyperspectral dataset-AeroRIT-that is large enough for CNN training. To date
the majority of hyperspectral airborne have been confined to various
sub-categories of vegetation and roads and this scene introduces two new
categories: buildings and cars. To the best of our knowledge, this is the first
comprehensive large-scale hyperspectral scene with nearly seven million pixel
annotations for identifying cars, roads, and buildings. We compare the
performance of three popular architectures - SegNet, U-Net, and Res-U-Net, for
scene understanding and object identification via the task of dense semantic
segmentation to establish a benchmark for the scene. To further strengthen the
network, we add squeeze and excitation blocks for better channel interactions
and use self-supervised learning for better encoder initialization. Aerial
hyperspectral image analysis has been restricted to small datasets with limited
train/test splits capabilities and we believe that AeroRIT will help advance
the research in the field with a more complex object distribution to perform
well on. The full dataset, with flight lines in radiance and reflectance
domain, is available for download at https://github.com/aneesh3108/AeroRIT.
This dataset is the first step towards developing robust algorithms for
hyperspectral airborne sensing that can robustly perform advanced tasks like
vehicle tracking and occlusion handling.
","Aneesh Rangnekar, Nilay Mokashi, Emmett Ientilucci, Christopher Kanan, Matthew J. Hoffman",Matthew J. Hoffman,2019-12-17T18:31:56Z
"Tracking in Aerial Hyperspectral Videos using Deep Kernelized
  Correlation Filters","  Hyperspectral imaging holds enormous potential to improve the
state-of-the-art in aerial vehicle tracking with low spatial and temporal
resolutions. Recently, adaptive multi-modal hyperspectral sensors have
attracted growing interest due to their ability to record extended data quickly
from aerial platforms. In this study, we apply popular concepts from
traditional object tracking, namely (1) Kernelized Correlation Filters (KCF)
and (2) Deep Convolutional Neural Network (CNN) features to aerial tracking in
hyperspectral domain. We propose the Deep Hyperspectral Kernelized Correlation
Filter based tracker (DeepHKCF) to efficiently track aerial vehicles using an
adaptive multi-modal hyperspectral sensor. We address low temporal resolution
by designing a single KCF-in-multiple Regions-of-Interest (ROIs) approach to
cover a reasonably large area. To increase the speed of deep convolutional
features extraction from multiple ROIs, we design an effective ROI mapping
strategy. The proposed tracker also provides flexibility to couple with the
more advanced correlation filter trackers. The DeepHKCF tracker performs
exceptionally well with deep features set up in a synthetic hyperspectral video
generated by the Digital Imaging and Remote Sensing Image Generation (DIRSIG)
software. Additionally, we generate a large, synthetic, single-channel dataset
using DIRSIG to perform vehicle classification in the Wide Area Motion Imagery
(WAMI) platform. This way, the high-fidelity of the DIRSIG software is proved
and a large scale aerial vehicle classification dataset is released to support
studies on vehicle detection and tracking in the WAMI platform.
","Burak Uzkent, Aneesh Rangnekar, Matthew J. Hoffman",Matthew J. Hoffman,2017-11-20T10:06:07Z
Machine learning based hyperspectral image analysis: A survey,"  Hyperspectral sensors enable the study of the chemical properties of scene
materials remotely for the purpose of identification, detection, and chemical
composition analysis of objects in the environment. Hence, hyperspectral images
captured from earth observing satellites and aircraft have been increasingly
important in agriculture, environmental monitoring, urban planning, mining, and
defense. Machine learning algorithms due to their outstanding predictive power
have become a key tool for modern hyperspectral image analysis. Therefore, a
solid understanding of machine learning techniques have become essential for
remote sensing researchers and practitioners. This paper reviews and compares
recent machine learning-based hyperspectral image analysis methods published in
literature. We organize the methods by the image analysis task and by the type
of machine learning algorithm, and present a two-way mapping between the image
analysis tasks and the types of machine learning algorithms that can be applied
to them. The paper is comprehensive in coverage of both hyperspectral image
analysis tasks and machine learning algorithms. The image analysis tasks
considered are land cover classification, target detection, unmixing, and
physical parameter estimation. The machine learning algorithms covered are
Gaussian models, linear regression, logistic regression, support vector
machines, Gaussian mixture model, latent linear models, sparse linear models,
Gaussian mixture models, ensemble learning, directed graphical models,
undirected graphical models, clustering, Gaussian processes, Dirichlet
processes, and deep learning. We also discuss the open challenges in the field
of hyperspectral image analysis and explore possible future directions.
","Utsav B. Gewali, Sildomar T. Monteiro, Eli Saber",Eli Saber,2018-02-23T19:11:25Z
